t (s),V (mV)
0,20.1717
1.05,20.1517
2.101,20.1211
3.15,20.0971
4.15,20.0747
5.15,20.0499
6.151,20.0266
7.151,20.0008
8.15,19.978
9.15,19.9532
10.15,19.9281
11.15,19.9048
12.15,19.8804
13.15,19.855
14.15,19.8293
15.15,19.8053
16.15,19.7818
17.15,19.761
18.15,19.7382
19.15,19.7154
20.15,19.6921
21.15,19.6693
22.15,19.6465
23.15,19.6233
24.15,19.5995
25.15,19.5769
26.15,19.5542
27.15,19.5318
28.15,19.5086
29.15,19.4861
30.15,19.4644
31.151,19.4413
32.15,19.4201
33.15,19.3982
34.15,19.3765
35.15,19.3547
36.151,19.3325
37.151,19.311
38.151,19.2899
39.15,19.2676
40.15,19.2458
41.15,19.2239
42.15,19.2024
43.15,19.182
44.15,19.16
45.151,19.137
46.15,19.1167
47.15,19.0952
48.15,19.0737
49.15,19.0525
50.15,19.0319
51.151,19.0103
52.151,18.9881
53.151,18.9662
54.151,18.9454
55.15,18.9243
56.15,18.9024
57.15,18.8819
58.15,18.8613
59.15,18.8401
60.15,18.8184
61.151,18.7968
62.151,18.7767
63.151,18.7553
64.15,18.734
65.15,18.7122
66.15,18.6901
67.15,18.67
68.15,18.6494
69.15,18.6271
70.151,18.6071
71.15,18.586
72.15,18.5665
73.15,18.5463
74.151,18.5257
75.15,18.5051
76.15,18.4842
77.15,18.4635
78.15,18.4426
79.151,18.4235
80.15,18.4022
81.15,18.381
82.15,18.3607
83.15,18.3405
84.151,18.3205
85.151,18.2997
86.15,18.2793
87.15,18.2607
88.15,18.2405
89.15,18.2192
90.15,18.1982
91.15,18.1788
92.15,18.1589
93.151,18.1385
94.15,18.1205
95.15,18.1017
96.15,18.0824
97.15,18.0628
98.15,18.0435
99.15,18.0258
100.15,18.0061
101.15,17.9871
102.15,17.9678
103.15,17.9477
104.15,17.9294
105.15,17.9099
106.15,17.889
107.15,17.8689
108.15,17.851
109.15,17.8324
110.15,17.8122
111.15,17.7936
112.15,17.7744
113.15,17.7551
114.15,17.7354
115.15,17.7179
116.15,17.6975
117.15,17.679
118.15,17.6609
119.15,17.6419
120.15,17.6231
121.15,17.6042
122.15,17.585
123.15,17.5659
124.15,17.5466
125.15,17.5275
126.15,17.5091
127.15,17.4913
128.15,17.4749
129.15,17.4556
130.15,17.4387
131.15,17.4204
132.15,17.4025
133.15,17.3842
134.15,17.3663
135.15,17.3481
136.15,17.3319
137.15,17.316
138.15,17.2974
139.15,17.2807
140.15,17.263
141.15,17.2458
142.15,17.2276
143.15,17.2103
144.15,17.1939
145.15,17.1773
146.15,17.1595
147.15,17.1422
148.15,17.1257
149.15,17.1082
150.15,17.0916
151.15,17.0745
152.15,17.0576
153.15,17.0402
154.15,17.0231
155.15,17.007
156.15,16.9894
157.15,16.9728
158.15,16.9569
159.15,16.9401
160.151,16.9227
161.151,16.9055
162.151,16.8887
163.151,16.8705
164.151,16.8551
165.15,16.8374
166.15,16.8192
167.15,16.802
168.15,16.7831
169.15,16.7666
170.15,16.7483
171.15,16.7315
172.15,16.7152
173.15,16.6994
174.15,16.6828
175.15,16.6647
176.15,16.6481
