t (s),V (mV)
177.15,16.6309
178.15,16.6145
179.15,16.5973
180.15,16.5804
181.15,16.5628
182.15,16.546
183.15,16.5302
184.15,16.5129
185.15,16.4963
186.15,16.4801
187.15,16.4637
188.15,16.4467
189.15,16.4305
190.15,16.4142
191.15,16.3978
192.15,16.3828
193.15,16.3653
194.15,16.3493
195.15,16.3334
196.15,16.3172
197.15,16.3011
198.15,16.2847
199.15,16.2664
200.15,16.2507
201.15,16.2344
202.15,16.2178
203.15,16.2005
204.15,16.1853
205.15,16.1689
206.15,16.1522
207.15,16.1364
208.15,16.1209
209.15,16.1035
210.15,16.0869
211.15,16.0712
212.15,16.054
213.15,16.0393
214.15,16.0226
215.15,16.0063
216.15,15.9901
217.15,15.975
218.15,15.9592
219.15,15.9433
220.15,15.9277
221.15,15.9107
222.15,15.8962
223.15,15.8801
224.15,15.8645
225.15,15.8484
226.15,15.8338
227.15,15.8177
228.15,15.8028
229.15,15.7861
230.15,15.7713
231.15,15.7557
232.15,15.739
233.15,15.725
234.15,15.708
235.15,15.6927
236.15,15.6768
237.15,15.6616
238.15,15.6467
239.15,15.631
240.15,15.6147
241.15,15.5987
242.15,15.5844
243.15,15.5689
244.15,15.553
245.15,15.5378
246.15,15.522
247.15,15.5062
248.15,15.4911
249.15,15.4762
250.15,15.4616
251.15,15.4452
252.15,15.4298
253.15,15.415
254.15,15.3986
255.15,15.3845
256.15,15.3688
257.15,15.3528
258.15,15.337
259.15,15.3215
260.15,15.3063
261.15,15.2905
262.15,15.2752
263.15,15.2611
264.15,15.2463
265.15,15.2316
266.15,15.2172
267.15,15.2029
268.15,15.1883
269.15,15.1737
270.15,15.1595
271.15,15.1438
272.15,15.1297
273.15,15.1139
274.15,15.1002
275.15,15.0852
276.15,15.0705
277.15,15.0563
278.15,15.0416
279.15,15.0265
280.15,15.0133
281.15,14.9984
282.15,14.9836
283.15,14.9699
284.15,14.9545
285.15,14.9394
286.15,14.9252
287.15,14.91
288.15,14.8954
289.15,14.8812
290.15,14.8661
291.15,14.8502
292.15,14.8372
293.15,14.8215
294.15,14.8066
295.15,14.7917
296.15,14.7776
297.15,14.7633
298.15,14.7492
299.15,14.7343
300.15,14.7204
301.15,14.7075
302.15,14.6927
303.15,14.6796
304.15,14.665
305.15,14.6485
306.15,14.6351
307.15,14.6199
308.15,14.6074
309.15,14.5933
310.15,14.5809
311.15,14.5667
312.15,14.5533
313.15,14.5381
314.15,14.5239
315.15,14.5091
316.15,14.4944
317.15,14.4812
318.15,14.4656
319.15,14.4525
320.15,14.438
321.15,14.4243
322.15,14.4099
323.15,14.3951
324.15,14.3801
325.15,14.3656
326.15,14.3517
327.15,14.3373
328.15,14.3241
329.15,14.31
330.15,14.2967
331.15,14.2839
332.15,14.2708
333.15,14.2576
334.15,14.2438
335.15,14.2304
336.15,14.217
337.15,14.2031
338.15,14.1888
339.15,14.1749
340.15,14.161
341.15,14.1483
342.15,14.1355
343.15,14.1235
344.15,14.1102
345.15,14.0963
346.15,14.0839
347.15,14.0694
348.15,14.0563
349.15,14.0415
350.15,14.0269
351.15,14.0125
352.15,13.9994
353.15,13.9846
354.15,13.9716
355.15,13.9576
356.15,13.9443
357.15,13.9297
358.15,13.916
359.15,13.9023
360.15,13.8892
361.15,13.8755
362.15,13.8616
363.15,13.8471
364.15,13.835
365.15,13.8207
366.15,13.8073
367.15,13.794
368.15,13.7817
369.15,13.7688
370.15,13.7547
371.15,13.7413
372.15,13.7282
373.15,13.7154
374.15,13.7013
375.15,13.6882
376.15,13.6753
377.15,13.6617
378.15,13.6489
379.15,13.6364
380.15,13.6223
381.15,13.6106
382.15,13.5974
383.15,13.5829
384.15,13.5699
385.15,13.5558
386.15,13.5424
387.15,13.5291
388.15,13.5174
389.15,13.5033
390.15,13.4902
391.15,13.4777
392.15,13.4654
393.15,13.452
394.15,13.438
395.15,13.4272
396.15,13.414
397.15,13.4008
398.15,13.388
399.15,13.3755
400.15,13.3621
401.15,13.3501
402.15,13.3375
403.15,13.3245
404.15,13.3122
405.15,13.2995
406.15,13.2867
407.15,13.2745
408.15,13.2615
409.15,13.2485
410.15,13.2354
411.15,13.2229
412.15,13.2101
413.15,13.1989
414.15,13.1841
415.15,13.1704
416.15,13.1592
417.151,13.1464
418.151,13.1335
