t (s),V (mV)
0,25.4849
2.033,25.4344
4.066,25.3816
6.099,25.3296
8.132,25.2794
10.165,25.2293
12.198,25.1804
14.232,25.1308
16.265,25.0817
18.298,25.0329
20.331,24.9844
22.364,24.9367
25.359,24.8664
26.441,24.8424
27.999,24.8043
30.032,24.756
32.065,24.7099
34.098,24.6631
36.131,24.6161
38.164,24.5698
40.197,24.5235
42.23,24.4769
44.263,24.4315
46.297,24.3842
49.291,24.3157
51.324,24.2724
53.357,24.2272
55.391,24.1823
57.424,24.1365
58.982,24.1041
61.015,24.0607
63.048,24.0177
65.081,23.9736
67.114,23.9327
69.147,23.8888
72.142,23.8271
74.175,23.782
76.208,23.7415
78.241,23.7001
80.274,23.6572
82.307,23.6138
84.34,23.5718
86.373,23.5294
87.456,23.508
89.013,23.4769
91.046,23.435
93.079,23.3917
96.074,23.3305
98.107,23.2905
100.14,23.2493
102.173,23.208
104.206,23.1676
106.239,23.1259
108.272,23.0846
110.305,23.0437
112.338,23.0043
114.372,22.9635
115.454,22.9416
118,22.8911
120.033,22.8515
122.066,22.8123
124.1,22.772
126.133,22.7331
128.166,22.6933
130.199,22.6538
132.232,22.6152
134.265,22.5765
136.298,22.5381
138.331,22.5014
140.364,22.4645
143.358,22.4088
144.441,22.3889
145.998,22.3605
148.031,22.3241
150.064,22.2873
152.097,22.2494
154.13,22.2113
156.163,22.1725
158.196,22.134
160.229,22.0964
162.262,22.0595
164.295,22.0212
167.29,21.9647
169.323,21.9274
171.356,21.8898
173.389,21.8518
175.422,21.8131
176.98,21.7851
179.013,21.747
181.046,21.7105
183.079,21.6738
185.112,21.6359
187.145,21.5997
190.14,21.5454
192.173,21.5092
194.206,21.473
196.239,21.4358
198.272,21.399
200.305,21.3628
202.338,21.3279
204.371,21.2915
205.453,21.2711
207.01,21.2437
209.044,21.2093
211.077,21.1726
214.071,21.1211
216.104,21.0852
218.137,21.0497
220.17,21.015
222.203,20.9789
224.236,20.9439
226.269,20.9084
228.302,20.8726
230.335,20.8371
232.368,20.8026
233.451,20.7835
236,20.7395
238.033,20.7049
240.066,20.6705
242.099,20.6343
244.132,20.6
246.165,20.5646
248.198,20.5302
250.231,20.4946
252.264,20.4595
254.297,20.4252
256.33,20.3908
258.364,20.3559
261.358,20.3055
262.44,20.2878
263.998,20.2608
266.031,20.2266
268.064,20.1914
270.097,20.1577
272.13,20.1242
274.163,20.0904
276.196,20.0564
