t (s),V (mV)
278.229,20.0233
280.262,19.9906
282.295,19.9566
285.29,19.9082
287.323,19.8728
289.356,19.8396
291.388,19.8075
293.421,19.7763
294.979,19.7516
297.012,19.7196
299.045,19.6865
301.078,19.6549
303.111,19.6229
305.144,19.591
308.139,19.5454
310.172,19.5124
312.205,19.4804
314.238,19.4481
316.271,19.4165
318.304,19.3848
320.337,19.353
322.37,19.3212
323.452,19.3057
325.009,19.2802
327.042,19.2502
329.075,19.2172
332.07,19.173
334.103,19.1421
336.136,19.1103
338.168,19.0789
340.201,19.0481
342.234,19.0166
344.267,18.9852
346.3,18.9545
348.333,18.9242
350.366,18.8928
351.448,18.8763
354,18.8377
356.033,18.8065
358.066,18.7749
360.099,18.744
362.132,18.7131
364.165,18.6825
366.197,18.6522
368.23,18.622
370.263,18.5927
372.296,18.5626
374.329,18.5305
376.362,18.5002
379.356,18.4571
381.389,18.4277
383.422,18.3975
384.98,18.3751
387.012,18.3454
389.045,18.3166
391.078,18.2875
393.111,18.258
395.144,18.2291
397.177,18.1997
399.209,18.1718
402.204,18.1284
404.236,18.0987
406.269,18.0694
408.302,18.0393
410.335,18.0102
412.368,17.9807
413.45,17.9654
415.007,17.9427
417.04,17.9151
419.073,17.8867
421.105,17.858
423.138,17.8293
426.133,17.7872
428.165,17.7593
430.198,17.7312
432.231,17.7032
434.264,17.6746
436.297,17.6464
438.33,17.6186
440.362,17.5907
441.444,17.5742
443.002,17.5529
445.035,17.5246
447.067,17.4959
450.062,17.4532
452.095,17.4246
454.127,17.3962
456.16,17.3673
458.193,17.3378
460.226,17.3103
462.259,17.282
464.291,17.2537
466.324,17.2243
468.357,17.1959
470.39,17.1685
473.384,17.1272
475.417,17.0997
476.975,17.0777
479.008,17.0505
481.041,17.0212
483.073,16.9946
485.106,16.9675
487.139,16.9405
489.172,16.9114
491.204,16.8842
493.237,16.8554
496.232,16.8155
498.264,16.7882
500.297,16.7609
502.33,16.7331
504.363,16.7048
505.445,16.6907
507.002,16.6695
509.035,16.6423
511.068,16.6172
513.101,16.5896
515.133,16.5634
517.166,16.5359
520.16,16.4964
522.193,16.4697
524.226,16.4422
526.259,16.4151
528.291,16.3885
530.324,16.3616
532.357,16.3345
534.39,16.3082
536.422,16.2811
537.98,16.2601
540.013,16.234
543.007,16.1947
545.04,16.1675
547.073,16.1429
549.106,16.1156
551.139,16.0892
553.171,16.0619
555.204,16.0369
557.237,16.0097
559.27,15.9849
561.302,15.9605
563.335,15.9347
566.329,15.8955
568.362,15.8689
569.444,15.854
571.002,15.8348
573.035,15.8077
575.067,15.783
577.1,15.7568
579.133,15.7331
581.166,15.7056
583.198,15.6795
585.231,15.653
587.264,15.6276
590.258,15.5913
592.291,15.5664
594.324,15.5419
596.356,15.5153
598.389,15.4906
600.422,15.465
601.98,15.4458
604.012,15.4203
606.045,15.3952
608.078,15.3706
610.11,15.3456
613.105,15.3083
615.137,15.2836
617.17,15.2596
619.203,15.2347
621.235,15.2101
623.268,15.1848
625.301,15.1612
627.334,15.1361
629.366,15.1129
630.448,15.0998
632.006,15.081
634.038,15.0575
637.033,15.0224
639.065,14.9976
641.098,14.974
643.131,14.95
645.163,14.9257
647.196,14.9018
649.229,14.8776
651.262,14.8539
653.294,14.8311
655.327,14.8066
657.36,14.7826
660.354,14.7478
662.387,14.7231
664.419,14.6993
665.977,14.6821
668.01,14.658
670.042,14.6343
672.075,14.6095
674.108,14.5871
676.141,14.5632
678.173,14.5406
680.206,14.5179
683.2,14.4822
685.233,14.459
687.266,14.436
689.298,14.4113
691.331,14.3869
693.363,14.363
694.445,14.3511
696.003,14.3335
698.035,14.312
700.068,14.2895
702.101,14.2684
704.133,14.2464
707.128,14.2157
709.16,14.1931
711.193,14.1696
713.226,14.1472
715.258,14.1236
717.291,14.1009
719.324,14.0768
721.356,14.0555
723.389,14.0324
725.422,14.0093
726.979,13.9915
729.974,13.9585
732.006,13.9369
734.039,13.9137
736.071,13.8915
738.104,13.8696
740.137,13.8479
742.17,13.8256
744.202,13.802
746.235,13.78
748.268,13.7576
750.301,13.7349
753.295,13.7034
755.327,13.6812
757.36,13.6603
758.442,13.6484
760,13.6289
762.032,13.6078
764.065,13.5872
766.098,13.5652
768.13,13.5427
770.163,13.5166
772.195,13.4987
