t (s),V (mV)
0,26.9361
0.999,26.9032
1.999,26.8687
2.999,26.83
3.999,26.7917
4.999,26.7526
5.999,26.7132
6.999,26.6733
7.999,26.633
8.999,26.5935
9.999,26.5543
10.999,26.5145
11.999,26.476
12.999,26.4372
13.999,26.3987
14.999,26.3604
15.999,26.3213
16.999,26.2845
17.999,26.2471
18.999,26.2084
19.999,26.1702
20.999,26.1327
21.999,26.094
22.999,26.0581
23.999,26.0206
24.999,25.9834
25.999,25.9464
26.999,25.9095
27.999,25.8737
28.999,25.8374
29.999,25.8004
30.999,25.7632

31.999,25.7279
32.999,25.69
34.999,25.6169
35.999,25.5813
36.999,25.5443
37.999,25.5082
38.999,25.4713
39.999,25.4369
40.999,25.3997
41.999,25.3637
42.999,25.3279
43.999,25.2924
44.999,25.2581
45.999,25.223
46.999,25.1899
47.999,25.1553
48.999,25.121
49.999,25.0857
50.999,25.05
51.999,25.0162
52.999,24.9824
53.999,24.9473
54.999,24.9136
55.999,24.8798
56.999,24.8453
57.999,24.8109
58.999,24.7763
59.999,24.7419
60.999,24.708
61.999,24.6736
62.999,24.6395
63.999,24.6061
64.999,24.5722
65.999,24.5381
66.999,24.5042
67.999,24.471
68.999,24.4374
69.999,24.4041
70.999,24.3711
71.999,24.3393
72.999,24.3057
73.999,24.2736
74.999,24.2396
75.999,24.2065
76.999,24.1729
77.999,24.1394
78.999,24.1075
79.999,24.0743
80.999,24.0414
81.999,24.0095
82.999,23.9771
83.999,23.9442
84.999,23.9125
85.999,23.8804
86.999,23.8491
87.999,23.8162
88.999,23.7837
89.999,23.7522
90.999,23.7201
91.999,23.6889
92.999,23.658
93.999,23.6267
94.999,23.5948
95.999,23.565
96.999,23.5336
97.999,23.5036
98.999,23.4718
99.999,23.4403
100.999,23.4086
101.999,23.3788
102.999,23.3475
103.999,23.316
104.999,23.2863
105.999,23.2546
106.999,23.2246
107.999,23.1958
108.999,23.1666
110,23.1369
111,23.1071
111.999,23.078
112.999,23.0474
113.999,23.0174
114.999,22.9885
115.999,22.9567
116.999,22.9267
117.999,22.8954
118.999,22.8658
119.999,22.8349
120.999,22.8043
121.999,22.7757
122.999,22.7452
123.999,22.7166
124.999,22.6869
125.999,22.6573
126.999,22.6299
127.999,22.5989
128.999,22.5699
129.999,22.5408
130.999,22.5114
131.999,22.4816
132.999,22.4519
133.999,22.422
